"","country","continent","year","lifeExp","pop","gdpPercap","diff_lifeExp","diff_pop"
"29","Algeria","Africa",1972,54.518,14760787,4182.663766,3.111,2000288
"30","Algeria","Africa",1977,58.014,17152804,4910.416756,3.496,2392017
"31","Algeria","Africa",1982,61.368,20033753,5745.160213,3.354,2880949
"32","Algeria","Africa",1987,65.799,23254956,5681.358539,4.431,3221203
"33","Algeria","Africa",1992,67.744,26298373,5023.216647,1.94499999999999,3043417
"34","Algeria","Africa",1997,69.152,29072015,4797.295051,1.408,2773642
"35","Algeria","Africa",2002,70.994,31287142,5288.040382,1.842,2215127
"36","Algeria","Africa",2007,72.301,33333216,6223.367465,1.307,2046074
"37","Angola","Africa",1952,30.015,4232095,3520.610273,0,0
"38","Angola","Africa",1957,31.999,4561361,3827.940465,1.984,329266
"39","Angola","Africa",1962,34,4826015,4269.276742,2.001,264654
"40","Angola","Africa",1967,35.985,5247469,5522.776375,1.985,421454
"41","Angola","Africa",1972,37.928,5894858,5473.288005,1.943,647389
"42","Angola","Africa",1977,39.483,6162675,3008.647355,1.555,267817
"43","Angola","Africa",1982,39.942,7016384,2756.953672,0.459000000000003,853709
"44","Angola","Africa",1987,39.906,7874230,2430.208311,-0.0360000000000014,857846
"45","Angola","Africa",1992,40.647,8735988,2627.845685,0.741,861758
"46","Angola","Africa",1997,40.963,9875024,2277.140884,0.316000000000003,1139036
"47","Angola","Africa",2002,41.003,10866106,2773.287312,0.0399999999999991,991082
"48","Angola","Africa",2007,42.731,12420476,4797.231267,1.728,1554370
"49","Argentina","Americas",1952,62.485,17876956,5911.315053,0,0
"50","Argentina","Americas",1957,64.399,19610538,6856.856212,1.914,1733582
"51","Argentina","Americas",1962,65.142,21283783,7133.166023,0.742999999999995,1673245
"52","Argentina","Americas",1967,65.634,22934225,8052.953021,0.492000000000004,1650442
"53","Argentina","Americas",1972,67.065,24779799,9443.038526,1.431,1845574
"54","Argentina","Americas",1977,68.481,26983828,10079.02674,1.416,2204029
"55","Argentina","Americas",1982,69.942,29341374,8997.897412,1.461,2357546
"56","Argentina","Americas",1987,70.774,31620918,9139.671389,0.832000000000008,2279544
"57","Argentina","Americas",1992,71.868,33958947,9308.41871,1.09399999999999,2338029
"58","Argentina","Americas",1997,73.275,36203463,10967.28195,1.40700000000001,2244516
"59","Argentina","Americas",2002,74.34,38331121,8797.640716,1.065,2127658
"60","Argentina","Americas",2007,75.32,40301927,12779.37964,0.97999999999999,1970806
"61","Australia","Oceania",1952,69.12,8691212,10039.59564,0,0
"62","Australia","Oceania",1957,70.33,9712569,10949.64959,1.20999999999999,1021357
"63","Australia","Oceania",1962,70.93,10794968,12217.22686,0.600000000000009,1082399
"64","Australia","Oceania",1967,71.1,11872264,14526.12465,0.169999999999987,1077296
"65","Australia","Oceania",1972,71.93,13177000,16788.62948,0.830000000000013,1304736
"66","Australia","Oceania",1977,73.49,14074100,18334.19751,1.55999999999999,897100
"67","Australia","Oceania",1982,74.74,15184200,19477.00928,1.25,1110100
"68","Australia","Oceania",1987,76.32,16257249,21888.88903,1.58,1073049
"69","Australia","Oceania",1992,77.56,17481977,23424.76683,1.24000000000001,1224728
"70","Australia","Oceania",1997,78.83,18565243,26997.93657,1.27,1083266
"71","Australia","Oceania",2002,80.37,19546792,30687.75473,1.54000000000001,981549
"72","Australia","Oceania",2007,81.235,20434176,34435.36744,0.864999999999995,887384
"73","Austria","Europe",1952,66.8,6927772,6137.076492,0,0
"74","Austria","Europe",1957,67.48,6965860,8842.59803,0.680000000000007,38088
"75","Austria","Europe",1962,69.54,7129864,10750.72111,2.06,164004
"76","Austria","Europe",1967,70.14,7376998,12834.6024,0.599999999999994,247134
"77","Austria","Europe",1972,70.63,7544201,16661.6256,0.489999999999995,167203
"78","Austria","Europe",1977,72.17,7568430,19749.4223,1.54000000000001,24229
"79","Austria","Europe",1982,73.18,7574613,21597.08362,1.01000000000001,6183
"80","Austria","Europe",1987,74.94,7578903,23687.82607,1.75999999999999,4290
"81","Austria","Europe",1992,76.04,7914969,27042.01868,1.10000000000001,336066
"82","Austria","Europe",1997,77.51,8069876,29095.92066,1.47,154907
"83","Austria","Europe",2002,78.98,8148312,32417.60769,1.47,78436
"84","Austria","Europe",2007,79.829,8199783,36126.4927,0.84899999999999,51471
"85","Bahrain","Asia",1952,50.939,120447,9867.084765,0,0
"86","Bahrain","Asia",1957,53.832,138655,11635.79945,2.893,18208
"87","Bahrain","Asia",1962,56.923,171863,12753.27514,3.091,33208
"88","Bahrain","Asia",1967,59.923,202182,14804.6727,3,30319
"89","Bahrain","Asia",1972,63.3,230800,18268.65839,3.377,28618
"90","Bahrain","Asia",1977,65.593,297410,19340.10196,2.29300000000001,66610
"91","Bahrain","Asia",1982,69.052,377967,19211.14731,3.459,80557
"92","Bahrain","Asia",1987,70.75,454612,18524.02406,1.69799999999999,76645
"93","Bahrain","Asia",1992,72.601,529491,19035.57917,1.851,74879
"94","Bahrain","Asia",1997,73.925,598561,20292.01679,1.324,69070
"95","Bahrain","Asia",2002,74.795,656397,23403.55927,0.870000000000005,57836
"96","Bahrain","Asia",2007,75.635,708573,29796.04834,0.840000000000003,52176
"97","Bangladesh","Asia",1952,37.484,46886859,684.2441716,0,0
"98","Bangladesh","Asia",1957,39.348,51365468,661.6374577,1.864,4478609
"99","Bangladesh","Asia",1962,41.216,56839289,686.3415538,1.868,5473821
"100","Bangladesh","Asia",1967,43.453,62821884,721.1860862,2.237,5982595
"101","Bangladesh","Asia",1972,45.252,70759295,630.2336265,1.799,7937411
"102","Bangladesh","Asia",1977,46.923,80428306,659.8772322,1.671,9669011
"103","Bangladesh","Asia",1982,50.009,93074406,676.9818656,3.086,12646100
"104","Bangladesh","Asia",1987,52.819,103764241,751.9794035,2.81,10689835
"105","Bangladesh","Asia",1992,56.018,113704579,837.8101643,3.199,9940338
"106","Bangladesh","Asia",1997,59.412,123315288,972.7700352,3.394,9610709
"107","Bangladesh","Asia",2002,62.013,135656790,1136.39043,2.601,12341502
"108","Bangladesh","Asia",2007,64.062,150448339,1391.253792,2.049,14791549
"109","Belgium","Europe",1952,68,8730405,8343.105127,0,0
"110","Belgium","Europe",1957,69.24,8989111,9714.960623,1.23999999999999,258706
"111","Belgium","Europe",1962,70.25,9218400,10991.20676,1.01000000000001,229289
"112","Belgium","Europe",1967,70.94,9556500,13149.04119,0.689999999999998,338100
"113","Belgium","Europe",1972,71.44,9709100,16672.14356,0.5,152600
"114","Belgium","Europe",1977,72.8,9821800,19117.97448,1.36,112700
"115","Belgium","Europe",1982,73.93,9856303,20979.84589,1.13000000000001,34503
"116","Belgium","Europe",1987,75.35,9870200,22525.56308,1.41999999999999,13897
"117","Belgium","Europe",1992,76.46,10045622,25575.57069,1.11,175422
"118","Belgium","Europe",1997,77.53,10199787,27561.19663,1.07000000000001,154165
"119","Belgium","Europe",2002,78.32,10311970,30485.88375,0.789999999999992,112183
"120","Belgium","Europe",2007,79.441,10392226,33692.60508,1.12100000000001,80256
"121","Benin","Africa",1952,38.223,1738315,1062.7522,0,0
"122","Benin","Africa",1957,40.358,1925173,959.6010805,2.135,186858
"123","Benin","Africa",1962,42.618,2151895,949.4990641,2.26000000000001,226722
"124","Benin","Africa",1967,44.885,2427334,1035.831411,2.267,275439
"125","Benin","Africa",1972,47.014,2761407,1085.796879,2.129,334073
"126","Benin","Africa",1977,49.19,3168267,1029.161251,2.17599999999999,406860
"127","Benin","Africa",1982,50.904,3641603,1277.897616,1.71400000000001,473336
"128","Benin","Africa",1987,52.337,4243788,1225.85601,1.433,602185
"129","Benin","Africa",1992,53.919,4981671,1191.207681,1.58199999999999,737883
"130","Benin","Africa",1997,54.777,6066080,1232.975292,0.858000000000004,1084409
"131","Benin","Africa",2002,54.406,7026113,1372.877931,-0.371000000000002,960033
"132","Benin","Africa",2007,56.728,8078314,1441.284873,2.322,1052201
"133","Bolivia","Americas",1952,40.414,2883315,2677.326347,0,0
"134","Bolivia","Americas",1957,41.89,3211738,2127.686326,1.476,328423
"135","Bolivia","Americas",1962,43.428,3593918,2180.972546,1.538,382180
"136","Bolivia","Americas",1967,45.032,4040665,2586.886053,1.604,446747
"137","Bolivia","Americas",1972,46.714,4565872,2980.331339,1.682,525207
"138","Bolivia","Americas",1977,50.023,5079716,3548.097832,3.309,513844
"139","Bolivia","Americas",1982,53.859,5642224,3156.510452,3.836,562508
"140","Bolivia","Americas",1987,57.251,6156369,2753.69149,3.392,514145
"141","Bolivia","Americas",1992,59.957,6893451,2961.699694,2.706,737082
"142","Bolivia","Americas",1997,62.05,7693188,3326.143191,2.093,799737
"143","Bolivia","Americas",2002,63.883,8445134,3413.26269,1.83300000000001,751946
"144","Bolivia","Americas",2007,65.554,9119152,3822.137084,1.671,674018
"145","Bosnia and Herzegovina","Europe",1952,53.82,2791000,973.5331948,0,0
"146","Bosnia and Herzegovina","Europe",1957,58.45,3076000,1353.989176,4.63,285000
"147","Bosnia and Herzegovina","Europe",1962,61.93,3349000,1709.683679,3.48,273000
"148","Bosnia and Herzegovina","Europe",1967,64.79,3585000,2172.352423,2.86000000000001,236000
"149","Bosnia and Herzegovina","Europe",1972,67.45,3819000,2860.16975,2.66,234000
"150","Bosnia and Herzegovina","Europe",1977,69.86,4086000,3528.481305,2.41,267000
"151","Bosnia and Herzegovina","Europe",1982,70.69,4172693,4126.613157,0.829999999999998,86693
"152","Bosnia and Herzegovina","Europe",1987,71.14,4338977,4314.114757,0.450000000000003,166284
"153","Bosnia and Herzegovina","Europe",1992,72.178,4256013,2546.781445,1.038,-82964
"154","Bosnia and Herzegovina","Europe",1997,73.244,3607000,4766.355904,1.066,-649013
"155","Bosnia and Herzegovina","Europe",2002,74.09,4165416,6018.975239,0.846000000000004,558416
"156","Bosnia and Herzegovina","Europe",2007,74.852,4552198,7446.298803,0.762,386782
"157","Botswana","Africa",1952,47.622,442308,851.2411407,0,0
"158","Botswana","Africa",1957,49.618,474639,918.2325349,1.996,32331
"159","Botswana","Africa",1962,51.52,512764,983.6539764,1.902,38125
"160","Botswana","Africa",1967,53.298,553541,1214.709294,1.778,40777
"161","Botswana","Africa",1972,56.024,619351,2263.611114,2.726,65810
"162","Botswana","Africa",1977,59.319,781472,3214.857818,3.295,162121
"163","Botswana","Africa",1982,61.484,970347,4551.14215,2.165,188875
"164","Botswana","Africa",1987,63.622,1151184,6205.88385,2.138,180837
"165","Botswana","Africa",1992,62.745,1342614,7954.111645,-0.877000000000002,191430
"166","Botswana","Africa",1997,52.556,1536536,8647.142313,-10.189,193922
"167","Botswana","Africa",2002,46.634,1630347,11003.60508,-5.922,93811
"168","Botswana","Africa",2007,50.728,1639131,12569.85177,4.094,8784
"169","Brazil","Americas",1952,50.917,56602560,2108.944355,0,0
"170","Brazil","Americas",1957,53.285,65551171,2487.365989,2.36799999999999,8948611
"171","Brazil","Americas",1962,55.665,76039390,3336.585802,2.38,10488219
"172","Brazil","Americas",1967,57.632,88049823,3429.864357,1.967,12010433
"173","Brazil","Americas",1972,59.504,100840058,4985.711467,1.872,12790235
"174","Brazil","Americas",1977,61.489,114313951,6660.118654,1.985,13473893
"175","Brazil","Americas",1982,63.336,128962939,7030.835878,1.847,14648988
"176","Brazil","Americas",1987,65.205,142938076,7807.095818,1.869,13975137
"177","Brazil","Americas",1992,67.057,155975974,6950.283021,1.852,13037898
"178","Brazil","Americas",1997,69.388,168546719,7957.980824,2.331,12570745
"179","Brazil","Americas",2002,71.006,179914212,8131.212843,1.61799999999999,11367493
"180","Brazil","Americas",2007,72.39,190010647,9065.800825,1.384,10096435
"181","Bulgaria","Europe",1952,59.6,7274900,2444.286648,0,0
"182","Bulgaria","Europe",1957,66.61,7651254,3008.670727,7.01,376354
"183","Bulgaria","Europe",1962,69.51,8012946,4254.337839,2.90000000000001,361692
"184","Bulgaria","Europe",1967,70.42,8310226,5577.0028,0.909999999999997,297280
"185","Bulgaria","Europe",1972,70.9,8576200,6597.494398,0.480000000000004,265974
"186","Bulgaria","Europe",1977,70.81,8797022,7612.240438,-0.0900000000000034,220822
"187","Bulgaria","Europe",1982,71.08,8892098,8224.191647,0.269999999999996,95076
"188","Bulgaria","Europe",1987,71.34,8971958,8239.854824,0.260000000000005,79860
"189","Bulgaria","Europe",1992,71.19,8658506,6302.623438,-0.150000000000006,-313452
"190","Bulgaria","Europe",1997,70.32,8066057,5970.38876,-0.870000000000005,-592449
"191","Bulgaria","Europe",2002,72.14,7661799,7696.777725,1.82000000000001,-404258
"192","Bulgaria","Europe",2007,73.005,7322858,10680.79282,0.864999999999995,-338941
"193","Burkina Faso","Africa",1952,31.975,4469979,543.2552413,0,0
"194","Burkina Faso","Africa",1957,34.906,4713416,617.1834648,2.931,243437
"195","Burkina Faso","Africa",1962,37.814,4919632,722.5120206,2.908,206216
"196","Burkina Faso","Africa",1967,40.697,5127935,794.8265597,2.883,208303
"197","Burkina Faso","Africa",1972,43.591,5433886,854.7359763,2.894,305951
"198","Burkina Faso","Africa",1977,46.137,5889574,743.3870368,2.546,455688
"199","Burkina Faso","Africa",1982,48.122,6634596,807.1985855,1.985,745022
"200","Burkina Faso","Africa",1987,49.557,7586551,912.0631417,1.435,951955
"201","Burkina Faso","Africa",1992,50.26,8878303,931.7527731,0.702999999999996,1291752
"202","Burkina Faso","Africa",1997,50.324,10352843,946.2949618,0.0640000000000001,1474540
"203","Burkina Faso","Africa",2002,50.65,12251209,1037.645221,0.326000000000001,1898366
"204","Burkina Faso","Africa",2007,52.295,14326203,1217.032994,1.645,2074994
"205","Burundi","Africa",1952,39.031,2445618,339.2964587,0,0
"206","Burundi","Africa",1957,40.533,2667518,379.5646281,1.502,221900
"207","Burundi","Africa",1962,42.045,2961915,355.2032273,1.512,294397
"208","Burundi","Africa",1967,43.548,3330989,412.9775136,1.503,369074
"209","Burundi","Africa",1972,44.057,3529983,464.0995039,0.509,198994
"210","Burundi","Africa",1977,45.91,3834415,556.1032651,1.85299999999999,304432
"211","Burundi","Africa",1982,47.471,4580410,559.603231,1.561,745995
"212","Burundi","Africa",1987,48.211,5126023,621.8188189,0.740000000000002,545613
"213","Burundi","Africa",1992,44.736,5809236,631.6998778,-3.475,683213
"214","Burundi","Africa",1997,45.326,6121610,463.1151478,0.590000000000003,312374
"215","Burundi","Africa",2002,47.36,7021078,446.4035126,2.034,899468
"216","Burundi","Africa",2007,49.58,8390505,430.0706916,2.22,1369427
"217","Cambodia","Asia",1952,39.417,4693836,368.4692856,0,0
"218","Cambodia","Asia",1957,41.366,5322536,434.0383364,1.949,628700
"219","Cambodia","Asia",1962,43.415,6083619,496.9136476,2.049,761083
"220","Cambodia","Asia",1967,45.415,6960067,523.4323142,2,876448
"221","Cambodia","Asia",1972,40.317,7450606,421.6240257,-5.098,490539
"222","Cambodia","Asia",1977,31.22,6978607,524.9721832,-9.097,-471999
"223","Cambodia","Asia",1982,50.957,7272485,624.4754784,19.737,293878
"224","Cambodia","Asia",1987,53.914,8371791,683.8955732,2.957,1099306
"225","Cambodia","Asia",1992,55.803,10150094,682.3031755,1.889,1778303
"226","Cambodia","Asia",1997,56.534,11782962,734.28517,0.731000000000002,1632868
"227","Cambodia","Asia",2002,56.752,12926707,896.2260153,0.218000000000004,1143745
"228","Cambodia","Asia",2007,59.723,14131858,1713.778686,2.971,1205151
"229","Cameroon","Africa",1952,38.523,5009067,1172.667655,0,0
"230","Cameroon","Africa",1957,40.428,5359923,1313.048099,1.90499999999999,350856
"231","Cameroon","Africa",1962,42.643,5793633,1399.607441,2.215,433710
"232","Cameroon","Africa",1967,44.799,6335506,1508.453148,2.156,541873
"233","Cameroon","Africa",1972,47.049,7021028,1684.146528,2.25,685522
"234","Cameroon","Africa",1977,49.355,7959865,1783.432873,2.306,938837
"235","Cameroon","Africa",1982,52.961,9250831,2367.983282,3.606,1290966
"236","Cameroon","Africa",1987,54.985,10780667,2602.664206,2.024,1529836
"237","Cameroon","Africa",1992,54.314,12467171,1793.163278,-0.670999999999999,1686504
"238","Cameroon","Africa",1997,52.199,14195809,1694.337469,-2.115,1728638
"239","Cameroon","Africa",2002,49.856,15929988,1934.011449,-2.343,1734179
"240","Cameroon","Africa",2007,50.43,17696293,2042.09524,0.573999999999998,1766305
"241","Canada","Americas",1952,68.75,14785584,11367.16112,0,0
"242","Canada","Americas",1957,69.96,17010154,12489.95006,1.20999999999999,2224570
"243","Canada","Americas",1962,71.3,18985849,13462.48555,1.34,1975695
"244","Canada","Americas",1967,72.13,20819767,16076.58803,0.829999999999998,1833918
"245","Canada","Americas",1972,72.88,22284500,18970.57086,0.75,1464733
"246","Canada","Americas",1977,74.21,23796400,22090.88306,1.33,1511900
"247","Canada","Americas",1982,75.76,25201900,22898.79214,1.55000000000001,1405500
"248","Canada","Americas",1987,76.86,26549700,26626.51503,1.09999999999999,1347800
"249","Canada","Americas",1992,77.95,28523502,26342.88426,1.09,1973802
"250","Canada","Americas",1997,78.61,30305843,28954.92589,0.659999999999997,1782341
"251","Canada","Americas",2002,79.77,31902268,33328.96507,1.16,1596425
"252","Canada","Americas",2007,80.653,33390141,36319.23501,0.88300000000001,1487873
"253","Central African Republic","Africa",1952,35.463,1291695,1071.310713,0,0
"254","Central African Republic","Africa",1957,37.464,1392284,1190.844328,2.001,100589
"255","Central African Republic","Africa",1962,39.475,1523478,1193.068753,2.011,131194
"256","Central African Republic","Africa",1967,41.478,1733638,1136.056615,2.003,210160
"257","Central African Republic","Africa",1972,43.457,1927260,1070.013275,1.979,193622
"258","Central African Republic","Africa",1977,46.775,2167533,1109.374338,3.318,240273
"259","Central African Republic","Africa",1982,48.295,2476971,956.7529907,1.52,309438
"260","Central African Republic","Africa",1987,50.485,2840009,844.8763504,2.19,363038
"261","Central African Republic","Africa",1992,49.396,3265124,747.9055252,-1.089,425115
"262","Central African Republic","Africa",1997,46.066,3696513,740.5063317,-3.33,431389
"263","Central African Republic","Africa",2002,43.308,4048013,738.6906068,-2.758,351500
"264","Central African Republic","Africa",2007,44.741,4369038,706.016537,1.433,321025
"265","Chad","Africa",1952,38.092,2682462,1178.665927,0,0
"266","Chad","Africa",1957,39.881,2894855,1308.495577,1.789,212393
"267","Chad","Africa",1962,41.716,3150417,1389.817618,1.835,255562
"268","Chad","Africa",1967,43.601,3495967,1196.810565,1.885,345550
"269","Chad","Africa",1972,45.569,3899068,1104.103987,1.968,403101
"270","Chad","Africa",1977,47.383,4388260,1133.98495,1.814,489192
"271","Chad","Africa",1982,49.517,4875118,797.9081006,2.134,486858
"272","Chad","Africa",1987,51.051,5498955,952.386129,1.534,623837
"273","Chad","Africa",1992,51.724,6429417,1058.0643,0.672999999999995,930462
"274","Chad","Africa",1997,51.573,7562011,1004.961353,-0.150999999999996,1132594
"275","Chad","Africa",2002,50.525,8835739,1156.18186,-1.048,1273728
"276","Chad","Africa",2007,50.651,10238807,1704.063724,0.126000000000005,1403068
"277","Chile","Americas",1952,54.745,6377619,3939.978789,0,0
"278","Chile","Americas",1957,56.074,7048426,4315.622723,1.329,670807
"279","Chile","Americas",1962,57.924,7961258,4519.094331,1.85,912832
"280","Chile","Americas",1967,60.523,8858908,5106.654313,2.599,897650
"281","Chile","Americas",1972,63.441,9717524,5494.024437,2.918,858616
"282","Chile","Americas",1977,67.052,10599793,4756.763836,3.611,882269
"283","Chile","Americas",1982,70.565,11487112,5095.665738,3.51299999999999,887319
"284","Chile","Americas",1987,72.492,12463354,5547.063754,1.92700000000001,976242
"285","Chile","Americas",1992,74.126,13572994,7596.125964,1.634,1109640
"286","Chile","Americas",1997,75.816,14599929,10118.05318,1.69,1026935
"287","Chile","Americas",2002,77.86,15497046,10778.78385,2.044,897117
"288","Chile","Americas",2007,78.553,16284741,13171.63885,0.692999999999998,787695
"289","China","Asia",1952,44,556263527,400.448611,0,0
"290","China","Asia",1957,50.54896,637408000,575.9870009,6.54896,81144473
"291","China","Asia",1962,44.50136,665770000,487.6740183,-6.0476,28362000
"292","China","Asia",1967,58.38112,754550000,612.7056934,13.87976,88780000
"293","China","Asia",1972,63.11888,862030000,676.9000921,4.73775999999999,107480000
"294","China","Asia",1977,63.96736,943455000,741.2374699,0.848480000000002,81425000
"295","China","Asia",1982,65.525,1000281000,962.4213805,1.55764000000001,56826000
"296","China","Asia",1987,67.274,1084035000,1378.904018,1.749,83754000
"297","China","Asia",1992,68.69,1164970000,1655.784158,1.416,80935000
"298","China","Asia",1997,70.426,1230075000,2289.234136,1.736,65105000
"299","China","Asia",2002,72.028,1280400000,3119.280896,1.602,50325000
"300","China","Asia",2007,72.961,1318683096,4959.114854,0.932999999999993,38283096
"301","Colombia","Americas",1952,50.643,12350771,2144.115096,0,0
"302","Colombia","Americas",1957,55.118,14485993,2323.805581,4.475,2135222
"303","Colombia","Americas",1962,57.863,17009885,2492.351109,2.745,2523892
"304","Colombia","Americas",1967,59.963,19764027,2678.729839,2.1,2754142
"305","Colombia","Americas",1972,61.623,22542890,3264.660041,1.66,2778863
"306","Colombia","Americas",1977,63.837,25094412,3815.80787,2.21400000000001,2551522
"307","Colombia","Americas",1982,66.653,27764644,4397.575659,2.816,2670232
"308","Colombia","Americas",1987,67.768,30964245,4903.2191,1.11499999999999,3199601
"309","Colombia","Americas",1992,68.421,34202721,5444.648617,0.653000000000006,3238476
"310","Colombia","Americas",1997,70.313,37657830,6117.361746,1.892,3455109
"311","Colombia","Americas",2002,71.682,41008227,5755.259962,1.369,3350397
"312","Colombia","Americas",2007,72.889,44227550,7006.580419,1.20699999999999,3219323
"313","Comoros","Africa",1952,40.715,153936,1102.990936,0,0
"314","Comoros","Africa",1957,42.46,170928,1211.148548,1.745,16992
"315","Comoros","Africa",1962,44.467,191689,1406.648278,2.007,20761
"316","Comoros","Africa",1967,46.472,217378,1876.029643,2.005,25689
"317","Comoros","Africa",1972,48.944,250027,1937.577675,2.472,32649
"318","Comoros","Africa",1977,50.939,304739,1172.603047,1.995,54712
"319","Comoros","Africa",1982,52.933,348643,1267.100083,1.994,43904
"320","Comoros","Africa",1987,54.926,395114,1315.980812,1.993,46471
"321","Comoros","Africa",1992,57.939,454429,1246.90737,3.013,59315
"322","Comoros","Africa",1997,60.66,527982,1173.618235,2.721,73553
"323","Comoros","Africa",2002,62.974,614382,1075.811558,2.314,86400
"324","Comoros","Africa",2007,65.152,710960,986.1478792,2.178,96578
"325","Congo, Dem. Rep.","Africa",1952,39.143,14100005,780.5423257,0,0
"326","Congo, Dem. Rep.","Africa",1957,40.652,15577932,905.8602303,1.509,1477927
"327","Congo, Dem. Rep.","Africa",1962,42.122,17486434,896.3146335,1.47,1908502
"328","Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932424,1.934,2454639
"329","Congo, Dem. Rep.","Africa",1972,45.989,23007669,904.8960685,1.933,3066596
"330","Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.757282,1.815,3473201
"331","Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181,-0.0200000000000031,4165625
"332","Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812,-0.372,4835150
"333","Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807,-1.864,6190498
"334","Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423,-2.961,6126843
"335","Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765,2.379,7580866
"336","Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587,1.496,9226907
"337","Congo, Rep.","Africa",1952,42.111,854885,2125.621418,0,0
"338","Congo, Rep.","Africa",1957,45.053,940458,2315.056572,2.942,85573
"339","Congo, Rep.","Africa",1962,48.435,1047924,2464.783157,3.38200000000001,107466
"340","Congo, Rep.","Africa",1967,52.04,1179760,2677.939642,3.605,131836
"341","Congo, Rep.","Africa",1972,54.907,1340458,3213.152683,2.867,160698
"342","Congo, Rep.","Africa",1977,55.625,1536769,3259.178978,0.718000000000004,196311
"343","Congo, Rep.","Africa",1982,56.695,1774735,4879.507522,1.07,237966
"344","Congo, Rep.","Africa",1987,57.47,2064095,4201.194937,0.774999999999999,289360
"345","Congo, Rep.","Africa",1992,56.433,2409073,4016.239529,-1.037,344978
"346","Congo, Rep.","Africa",1997,52.962,2800947,3484.164376,-3.471,391874
"347","Congo, Rep.","Africa",2002,52.97,3328795,3484.06197,0.00799999999999557,527848
"348","Congo, Rep.","Africa",2007,55.322,3800610,3632.557798,2.352,471815
"349","Costa Rica","Americas",1952,57.206,926317,2627.009471,0,0
"350","Costa Rica","Americas",1957,60.026,1112300,2990.010802,2.82,185983
"351","Costa Rica","Americas",1962,62.842,1345187,3460.937025,2.816,232887
"352","Costa Rica","Americas",1967,65.424,1588717,4161.727834,2.58200000000001,243530
"353","Costa Rica","Americas",1972,67.849,1834796,5118.146939,2.425,246079
"354","Costa Rica","Americas",1977,70.75,2108457,5926.876967,2.901,273661
"355","Costa Rica","Americas",1982,73.45,2424367,5262.734751,2.7,315910
"356","Costa Rica","Americas",1987,74.752,2799811,5629.915318,1.30199999999999,375444
"357","Costa Rica","Americas",1992,75.713,3173216,6160.416317,0.960999999999999,373405
"358","Costa Rica","Americas",1997,77.26,3518107,6677.045314,1.54700000000001,344891
"359","Costa Rica","Americas",2002,78.123,3834934,7723.447195,0.863,316827
"360","Costa Rica","Americas",2007,78.782,4133884,9645.06142,0.658999999999992,298950
"361","Cote d'Ivoire","Africa",1952,40.477,2977019,1388.594732,0,0
"362","Cote d'Ivoire","Africa",1957,42.469,3300000,1500.895925,1.992,322981
"363","Cote d'Ivoire","Africa",1962,44.93,3832408,1728.869428,2.461,532408
